IBI,Cump,NB,distancia
4.004,NN,7,menos de 30m
78.258,NN,7,menos de 30m
19.998,NN,7,menos de 30m
60.756,NN,7,menos de 30m
56.995,NN,7,menos de 30m
11.504,NN,7,menos de 30m
11.488,NN,7,menos de 30m
66.004,NN,7,menos de 30m
61.488,NN,7,menos de 30m
10.013,NN,7,menos de 30m
65.235,NN,7,menos de 30m
25.004,NN,7,menos de 30m
92.555,NN,7,menos de 30m
16.252,NN,4,menos de 30m
59.505,NN,4,menos de 30m
12.501,NN,4,menos de 30m
112.663,NN,4,menos de 30m
96.108,NN,4,menos de 30m
9.261,NN,4,menos de 30m
26.734,NN,4,menos de 30m
14.253,NN,4,menos de 30m
13.246,NN,4,menos de 30m
15.499,NN,4,menos de 30m
44.506,NN,4,menos de 30m
32.253,NN,6,menos de 30m
36.25,NN,5,menos de 30m
59.746,NN,5,menos de 30m
23.253,NN,6,menos de 30m
49.501,NN,6,menos de 30m
38.057,NN,6,menos de 30m
20.488,NN,6,menos de 30m
22.75,NN,6,menos de 30m
29.008,NN,6,menos de 30m
51.985,NN,6,menos de 30m
22.011,NN,6,menos de 30m
51.753,NN,7,menos de 30m
34.005,NN,7,menos de 30m
43.246,NN,7,menos de 30m
29.036,NN,6,menos de 30m
36.239,NN,5,menos de 30m
27.5,NN,4,menos de 30m
11.254,NN,4,menos de 30m
8.503,NN,4,menos de 30m
16.983,NN,5,menos de 30m
36.258,NN,5,menos de 30m
28.495,NN,6,menos de 30m
19.756,NN,5,menos de 30m
24.497,NN,5,menos de 30m
30.503,NN,5,menos de 30m
17.747,NN,6,menos de 30m
28.82,NN,5,menos de 30m
40.254,NN,5,menos de 30m
36.497,NN,4,menos de 30m
32.251,NN,5,menos de 30m
20.252,NN,4,menos de 30m
48.997,NN,4,menos de 30m
57.504,NN,5,menos de 30m
57.742,NN,5,menos de 30m
52.754,NN,5,menos de 30m
25.24,NN,5,menos de 30m
36.772,NN,5,menos de 30m
54,NN,5,menos de 30m
53.114,NN,5,menos de 30m
35.243,NN,5,menos de 30m
20.503,NN,4,menos de 30m
19.51,NN,4,menos de 30m
20.003,NN,4,menos de 30m
34.51,NN,4,menos de 30m
43.992,NN,4,menos de 30m
34.002,NN,4,menos de 30m
29.366,NN,4,menos de 30m
32.002,NN,4,menos de 30m
24.243,NN,4,menos de 30m
15.756,NN,4,menos de 30m
16.242,NN,5,menos de 30m
45.012,NN,4,menos de 30m
24.002,NN,4,menos de 30m
11.733,NN,6,menos de 30m
15.264,NN,4,menos de 30m
2.244,NN,4,menos de 30m
19.013,NN,4,menos de 30m
